source,subject,trial,list_length,mean_adjacent_distance,sd_adjacent_distance,p90_adjacent_distance,switch_rate_distance,mean_adjacent_similarity,log_frequency_likelihood,frequency_likelihood,n_relevant_bigrams,n_relevant_bigrams_rate,n_relevant_bigrams_norm
human,oaf_10408,3.10408,31.0,0.9817861706945745,0.12543660510278407,1.1164554508388422,0.1875,0.5065651338118391,-1.625129758127536,0.19688612597157573,7.0,0.23333333333333334,4.3067092904642035
human,oaf_10414,1.10414,28.0,1.0247882966915987,0.11226784300413964,1.15532559561793,0.2,0.4953159682443328,-1.5371616607325111,0.21499045208823445,6.0,0.2222222222222222,4.090624345428832
human,oaf_10414,3.10414,18.0,0.993347548858425,0.1081895798912125,1.1394075838700313,0.25,0.5030397666413754,-1.4753074374951065,0.2287084026971706,3.0,0.17647058823529413,3.703674528644262
human,oaf_10428,1.10428,17.0,0.9779242261230773,0.14939315569190412,1.1471180914964731,0.23076923076923078,0.5082195974114941,-1.4063975265498827,0.24502438897628642,5.0,0.3125,5.964979546965806
human,oaf_10433,1.10433,12.0,1.001935379427026,0.1155364624685487,1.1512534310964684,0.18181818181818182,0.5010346801330713,-1.4320405163945438,0.2388211063319985,1.0,0.09090909090909091,3.2715046385735205
human,oaf_10438,1.10438,25.0,1.0009716496254932,0.14215482014216238,1.179035650161426,0.2,0.5021206686306944,-1.5812971280468744,0.20570809533393739,6.0,0.25,4.874539400393461
human,oaf_10439,1.10439,18.0,0.9749817101223789,0.12271472457055807,1.1446420084905964,0.2222222222222222,0.5080404700962111,-2.0764353922937975,0.12537633404802973,8.0,0.47058823529411764,8.703674528644262
human,oaf_10439,3.10439,25.0,1.0415451545623948,0.14029695126675606,1.2129974431310127,0.18181818181818182,0.4919500399256603,-2.035367774461365,0.13063243039667177,5.0,0.20833333333333334,3.874539400393461
human,oaf_10453,1.10453,12.0,1.0636453616323085,0.12181850200630712,1.1667616141644692,0.2222222222222222,0.4861627715264531,-1.7593691898466706,0.1721534257073478,1.0,0.09090909090909091,3.2715046385735205
human,oaf_10453,3.10453,9.0,1.0718368256009594,0.15666620232060566,1.2254136830593407,0.25,0.48462432612590123,-2.3106078760126616,0.09920093136129403,1.0,0.125,4.055419693538149
human,oaf_10453,4.10453,8.0,1.027451313677335,0.18671088182305481,1.2351386723029716,0.2857142857142857,0.4968055412526932,-1.7778056712322274,0.16900860110660076,2.0,0.2857142857142857,5.316724711859692
human,oaf_10457,1.10457,24.0,1.0475638899340427,0.162574266668742,1.240106513221024,0.25,0.4911073525678992,-2.7096608439723937,0.06655937690126293,5.0,0.21739130434782608,4.1358444187150045
human,oaf_10472,1.10472,15.0,1.0251548567535103,0.13748423978551164,1.1923457335961671,0.2,0.49585807448708497,-1.570456328399714,0.20795026708980036,2.0,0.14285714285714285,3.4875895836088913
human,oaf_10478,1.10478,27.0,0.9936534069509452,0.11241246383897298,1.1405085473243155,0.23529411764705882,0.503124057432688,-1.6040680316934366,0.20107686487844742,10.0,0.38461538461538464,8.351929363750376
human,oaf_10478,3.10478,32.0,1.0613641661334219,0.08232931778194653,1.1548380666510683,0.2,0.48582306262485386,-1.9685677896208933,0.13965673086907104,2.0,0.06451612903225806,-0.95459572785734
human,oaf_10478,4.10478,22.0,1.0336996193687555,0.1383186299307883,1.1512443191389525,0.25,0.4938320420490359,-1.6883452517487905,0.18482511011695335,6.0,0.2857142857142857,5.65845445535809
human,oaf_10482,1.10482,26.0,1.0069875720647752,0.1283548134593173,1.183103135882496,0.1875,0.5001807638407847,-1.4102658721858639,0.24407838087331896,7.0,0.28,5.613234382071918
human,oaf_10482,3.10482,29.0,0.9928108721518797,0.10003822638118832,1.1157954433509631,0.1875,0.5030024841402863,-1.406008548688178,0.24511971657813736,6.0,0.21428571428571427,3.829319327107289
human,oaf_10497,1.10497,28.0,1.055427287032643,0.1425753899300184,1.2366194827286032,0.18181818181818182,0.48879279134351444,-2.2048111392008716,0.11027134927315235,6.0,0.2222222222222222,4.090624345428832
human,oaf_10497,3.10497,35.0,1.0647065584585038,0.13940361841965448,1.2561276410169648,0.22727272727272727,0.4864294892619832,-1.7622476170340495,0.17165860709770586,9.0,0.2647058823529412,5.261489217178031
human,oaf_10504,1.10504,16.0,0.998241596808657,0.14322609204742873,1.1670167766032233,0.2222222222222222,0.5027638474621597,-1.6418945764218518,0.19361288019460798,3.0,0.2,4.226284565287348
human,oaf_10512,1.10512,26.0,1.0128534274201715,0.119212926787658,1.1742680564552983,0.21739130434782608,0.498474549544234,-1.0751831212093856,0.34123526216536626,6.0,0.24,4.613234382071918
human,oaf_10518,1.10518,24.0,1.0136141264916314,0.1315568312931151,1.1605281271425478,0.2,0.4986351909526929,-1.7008595884737252,0.18252655887351388,3.0,0.13043478260869565,2.135844418715004
human,oaf_10518,3.10518,25.0,1.0372633148004928,0.1165869310503525,1.1749424567441853,0.22727272727272727,0.49242065712274274,-1.4657691452546564,0.23090032727027937,3.0,0.125,1.8745394003934612
human,oaf_10518,4.10518,19.0,1.0168768397190868,0.10639192280666948,1.1538358692248312,0.1875,0.49713590670981017,-1.568245664558042,0.2084104837308411,3.0,0.16666666666666666,3.4423695103227194
human,oaf_10521,1.10521,19.0,0.9972593868802099,0.11992240432229577,1.0815449619797983,0.2,0.5022788784034098,-1.5887554535056356,0.2041795646347255,2.0,0.1111111111111111,2.4423695103227194
human,oaf_10521,3.10521,19.0,1.006631683899004,0.09893622519276349,1.101342022288,0.21428571428571427,0.4995151555469686,-1.180921954497771,0.3069955721393627,4.0,0.2222222222222222,4.442369510322719
